name,scenario,2030,2035,2040,2050
CH07_other,ZVB,12.35235957,6.497270189,11.43394625,7.054569826
CH01_windon,WWB,0,0,0,0
CH01_windon,ZBA,0,0,0,0
CH01_windon,ZVA,0,0,0,0
CH01_windon,ZVB,0,0,0,0
CH02_windon,WWB,0,0,0,0
CH02_windon,ZBA,0,0,0,0
CH02_windon,ZVA,0,0,0,0
CH02_windon,ZVB,0,0,0,0
CH03_windon,WWB,0,0,0,0
CH03_windon,ZBA,0,0,0,0
CH03_windon,ZVA,0,0,0,0
CH03_windon,ZVB,0,0,0,0
CH04_windon,WWB,0,0,0,0
CH04_windon,ZBA,0,0,0,0
CH04_windon,ZVA,0,0,0,0
CH04_windon,ZVB,0,0,0,0
CH05_windon,WWB,0,0,0,0
CH05_windon,ZBA,0,0,0,0
CH05_windon,ZVA,0,0,0,0
CH05_windon,ZVB,0,0,0,0
CH06_windon,WWB,0,0,0,0
CH06_windon,ZBA,0,0,0,0
CH06_windon,ZVA,0,0,0,0
CH06_windon,ZVB,0,0,0,0
CH07_windon,WWB,0,0,0,0
CH07_windon,ZBA,0,0,0,0
CH07_windon,ZVA,0,0,0,0
CH07_windon,ZVB,0,0,0,0
CH00_oil,WWB,0,0,0,0
CH00_oil,ZBA,0,0,0,0
CH00_oil,ZVA,0,0,0,0
CH00_oil,ZVB,0,0,0,0
CH01_pvrf,WWB,0,0,0,0
CH01_pvrf,ZBA,0,0,0,0
CH01_pvrf,ZVA,0,0,0,0
CH01_pvrf,ZVB,0,0,0,0
CH02_pvrf,WWB,0,0,0,0
CH02_pvrf,ZBA,0,0,0,0
CH02_pvrf,ZVA,0,0,0,0
CH02_pvrf,ZVB,0,0,0,0
CH03_pvrf,WWB,0,0,0,0
CH03_pvrf,ZBA,0,0,0,0
CH03_pvrf,ZVA,0,0,0,0
CH03_pvrf,ZVB,0,0,0,0
CH04_pvrf,WWB,0,0,0,0
CH04_pvrf,ZBA,0,0,0,0
CH04_pvrf,ZVA,0,0,0,0
CH04_pvrf,ZVB,0,0,0,0
CH05_pvrf,WWB,0,0,0,0
CH05_pvrf,ZBA,0,0,0,0
CH05_pvrf,ZVA,0,0,0,0
CH05_pvrf,ZVB,0,0,0,0
CH06_pvrf,WWB,0,0,0,0
CH06_pvrf,ZBA,0,0,0,0
CH06_pvrf,ZVA,0,0,0,0
CH06_pvrf,ZVB,0,0,0,0
CH07_pvrf,WWB,0,0,0,0
CH07_pvrf,ZBA,0,0,0,0
CH07_pvrf,ZVA,0,0,0,0
CH07_pvrf,ZVB,0,0,0,0
CH00_hydrogen,WWB,0,0,0,0
CH00_hydrogen,ZBA,0,0,0,0
CH00_hydrogen,ZVA,0,0,0,0
CH00_hydrogen,ZVB,0,0,0,0
CH00_battery,WWB,0,0,0,0
CH00_battery,ZBA,0,0,0,0
CH00_battery,ZVA,0,0,0,0
CH00_battery,ZVB,0,0,0,0
CH00_CCGTCCS,WWB,0,0,0,0
CH00_CCGTCCS,ZBA,0,0,0,0
CH00_CCGTCCS,ZVA,0,0,0,0
CH00_CCGTCCS,ZVB,0,0,0,0
CH00_nuclear,WWB,0,0,0,0
CH00_nuclear,ZBA,0,0,0,0
CH00_nuclear,ZVA,0,0,0,0
CH00_nuclear,ZVB,0,0,0,0
CH00_CCGTresmethane,WWB,0,0,0,0
CH00_CCGTresmethane,ZBA,0,0,0,0
CH00_CCGTresmethane,ZVA,0,0,0,0
CH00_CCGTresmethane,ZVB,0,0,0,0
CH00_SCGTfossil,WWB,0,0,0,0
CH00_SCGTfossil,ZBA,0,0,0,0
CH00_SCGTfossil,ZVA,0,0,0,0
CH00_SCGTfossil,ZVB,0,0,0,0
CH00_SCGTresmethane,WWB,0,0,0,0
CH00_SCGTresmethane,ZBA,0,0,0,0
CH00_SCGTresmethane,ZVA,0,0,0,0
CH00_SCGTresmethane,ZVB,0,0,0,0
